City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country
pangnirtung,66.15,-65.71,5.0,56.0,90.0,7.2,ca
taolanaro,,,,,,,mg
sechura,-5.56,-80.82,23.57,61.0,48.0,5.26,pe
pisco,-13.7,-76.22,20.0,72.0,0.0,4.1,pe
bambous virieux,-20.34,57.76,23.95,78.0,40.0,3.6,mu
daxian,,,,,,,cn
jinzhou,41.11,121.14,9.79,79.0,13.0,1.12,cn
pevek,69.7,170.31,1.16,87.0,94.0,5.67,ru
norman wells,65.28,-126.83,-9.0,85.0,75.0,3.1,ca
norman wells,65.28,-126.83,-9.0,85.0,75.0,3.1,ca
sangmelima,2.93,11.98,22.06,94.0,39.0,0.89,cm
yuksekova,37.57,44.29,16.0,31.0,40.0,6.2,tr
baykit,61.67,96.37,-3.86,91.0,43.0,3.6,ru
east london,-33.02,27.91,19.0,88.0,75.0,8.2,za
atuona,-9.8,-139.03,25.68,72.0,30.0,9.8,pf
carnarvon,-24.87,113.63,19.0,82.0,75.0,10.3,au
nalut,30.33,10.85,28.63,15.0,57.0,3.68,ly
hilo,19.73,-155.09,22.66,73.0,1.0,2.6,us
santiago del estero,-27.8,-64.26,26.81,41.0,28.0,5.96,ar
rikitea,-23.12,-134.97,23.43,76.0,77.0,8.26,pf
attawapiskat,,,,,,,ca
airai,,,,,,,pw
kununurra,-15.77,128.73,26.0,83.0,0.0,3.6,au
nalut,30.33,10.85,28.63,15.0,57.0,3.68,ly
bethel,41.37,-73.41,20.83,52.0,1.0,6.2,us
casian,11.04,119.71,25.3,88.0,100.0,1.75,ph
qaanaaq,77.48,-69.36,-2.26,85.0,0.0,2.88,gl
kerman,30.28,57.08,14.0,8.0,0.0,5.1,ir
tuktoyaktuk,69.45,-133.04,-6.0,85.0,90.0,5.7,ca
kruisfontein,-34.0,24.73,18.33,84.0,0.0,1.79,za
carnarvon,-24.87,113.63,19.0,82.0,75.0,10.3,au
taolanaro,,,,,,,mg
prudentopolis,-25.21,-50.98,25.23,62.0,96.0,1.89,br
punta arenas,-53.15,-70.92,13.0,50.0,40.0,15.4,cl
clyde river,70.47,-68.59,1.0,100.0,90.0,5.7,ca
palmer,42.16,-72.33,22.16,43.0,20.0,5.7,us
airai,,,,,,,pw
ushuaia,-54.8,-68.3,14.0,33.0,75.0,7.2,ar
touros,-5.2,-35.46,30.0,58.0,40.0,6.7,br
seoul,37.57,126.98,7.7,70.0,1.0,0.95,kr
alugan,12.22,125.48,26.21,83.0,100.0,2.25,ph
severo-kurilsk,50.68,156.12,6.1,78.0,27.0,8.87,ru
dzerzhinsk,,,,,,,by
bam,29.11,58.36,15.9,23.0,0.0,3.1,ir
albany,-35.02,117.89,10.0,93.0,90.0,2.5,au
illoqqortoormiut,,,,,,,gl
